"authority_score","betweenness","closeness","cohens_f","cohens_f_category","community","degree","df_between","df_within","effect_size_category","effect_size_ratio","eigenvector","eta_squared","expression_range","f_statistic","functional_category","functional_diversity","functional_significance","functional_specificity_ratio","functional_structural_importance","global_mean","hpa_cancer_confidence","hpa_cancer_expressed","hpa_cancer_high","hpa_cancer_low","hpa_cancer_medium","hpa_cancer_not_detected","hpa_cancer_type","hpa_data_quality","hpa_expression_pattern","hpa_filter_cancer_quality","hpa_filter_has_data","hpa_filter_normal_quality","hpa_high_confidence","hpa_normal_cell_type","hpa_normal_expressed","hpa_normal_level","hpa_normal_reliability","hpa_normal_reliable","hpa_normal_tissue","hpa_passes_filter","hpa_potential_suppressor","hpa_therapeutic_target","hub_score","IHC tissue name","is_seed","is_well_expressed","Matching.Attribute","mean_expr_BaSq","mean_expr_GU","mean_expr_UroA","mean_expr_UroB","mean_expr_UroC","min_p_adjust","n_pathways","name","omega_squared","overall_sd","p_adjusted_bh","p_adjusted_bonf","p_value","partial_eta_squared","pathway","pathway_role","pathway_sharing","pathways_list","rank_BaSq","rank_GU","rank_UroA","rank_UroB","rank_UroC","sc_cancer_cells_expressing","sc_cancer_classification","sc_cancer_detection_rate","sc_cancer_max_expression","sc_cancer_mean_expression","sc_cancer_total_urothelial_cells","sc_norm_cells_expressing","sc_norm_classification","sc_norm_detection_rate","sc_norm_max_expression","sc_norm_mean_expression","sc_norm_total_urothelial_cells","selected","shared name","sig_and_large_effect","sig_and_meaningful","significant_01","significant_05"
"0.867465162138492","183.627550304215","0.00495049504950495","0.57860985990403","Very Large","2","184","4","477","Large","1.78808049309705","0.867465162138492","0.250818127195333","1.52658565375027","39.9236323698957","Growth_Factor_Response","110","30.7566566606894","1.21885781964838","4.4856524786466","0.182534721361364","Medium","TRUE","0","2","5","5","urothelial cancer","High","Constitutive","true","true","true","false","urothelial cells","TRUE","Medium","Enhanced","High","Urinary bladder","true","false","false","0.86746516213849","Urinary bladder","true","true","ERBB2","-0.832572816484906","0.694012837265364","0.215034666232539","0.171154431401748","0.0848442101516199","1.75123060835322E-31","3","ERBB2","0.24415221125802","0.853756673507547","3.69154312037359E-28","2.15031185093181E-26","7.46636059351324E-29","0.250818127195333","ERBB2","Functional_Hub","Shared_all_3","EGFR,FGFR3,ERBB2","5","1","2","3","4","714","Urothelial","0.722672064777328","2.59826433756731","0.73635592846202","988","826","Non-urothelial","0.0392045184868765","2.06382050998976","0.0360383855802776","21069","false","ERBB2","true","true","true","true"
"0.563422157352211","17.0421429050345","0.0040650406504065","0.624641525259971","Very Large","2","104","4","477","Large","1.34299879979952","0.563422157352212","0.280667156220791","1.29351098670091","46.528611433183","Growth_Factor_Response","39","25.2339987198524","1.0","-0.196928446405332","0.096298990049396","Medium","TRUE","1","4","4","2","urothelial cancer","High","Constitutive","true","true","true","false","urothelial cells","TRUE","High","Supported","High","Urinary bladder","true","false","false","0.563422157352211","Urinary bladder","false","true","PXN","-0.153698678809386","-0.749164519550012","0.544346467150901","0.108819083014379","0.150687266282127","5.83446824067576E-26","2","PXN","0.274221479299101","0.963151260368959","3.35612777754658E-32","1.47669622212049E-30","5.12741743791838E-33","0.280667156220791","ERBB2","Signal_Receptor","Shared_EGFR_ERBB2","EGFR,ERBB2","4","5","1","3","2","292","Urothelial","0.295546558704453","1.55804594130162","0.215556929103949","988","1609","Non-urothelial","0.0763681237837581","2.28636707631473","0.0783655081699067","21069","false","PXN","true","true","true","true"
"0.438362988574012","14.1381524317429","0.00396825396825397","0.210620229186033","Medium","2","84","4","477","Small","0.625730330807765","0.438362988574013","0.0424765823307628","0.639056845194264","5.29003505237844","Growth_Factor_Response","95","25.2339987198524","1.0","-0.681052137168743","-0.0408951293274365","None","FALSE","0","9","0","3","urothelial cancer","High","Lost_in_cancer","false","true","true","false","urothelial cells","TRUE","Medium","Enhanced","High","Urinary bladder","true","true","false","0.438362988574012","Urinary bladder","true","true","PRKCA","-0.510360586058203","-0.168055276652679","0.128696259136061","0.00759528736937346","-0.108554810907136","5.83446824067576E-26","3","PRKCA","0.0343780258622235","1.02129753622346","4.56876113758402E-4","0.102340249481882","3.55348088478757E-4","0.0424765823307628","ERBB2","Signal_Receptor","Shared_all_3","EGFR,FGFR3,ERBB2","5","4","1","2","3","97","Non-urothelial","0.0981781376518219","1.25499960552708","0.0655234465997521","988","1266","Non-urothelial","0.0600882813612416","2.39653275101432","0.0613088320894107","21069","false","PRKCA","false","true","true","true"
"0.166047109826214","5.26992836501923","0.0036101083032491","0.534816166065619","Very Large","2","34","4","477","Large","1.05306207188064","0.166047109826215","0.222412154135685","1.0563772922074","34.1088785296014","Other","29","13.3278415426686","0.528170017389403","-3.71674473063538","0.102926592546096","Medium","TRUE","0","2","3","6","urothelial cancer","High","Constitutive","true","true","true","false","urothelial cells","TRUE","Medium","Approved","Medium","Urinary bladder","true","false","false","0.166047109826214","Urinary bladder","true","true","USP8","-0.507584529241011","-0.51343540375325","0.542941888454154","0.17934496489231","-0.143511250448361","4.70065586150297E-14","1","USP8","0.215540135743007","1.00314817180799","1.68815564085074E-24","1.3674060690891E-22","4.74793773989271E-25","0.222412154135685","ERBB2","Peripheral","Unique_to_ERBB2","ERBB2","4","5","1","2","3","420","Urothelial","0.425101214574899","1.97242949798354","0.33266675669818","988","1274","Non-urothelial","0.0604679861407755","2.38975337871679","0.0605745703151874","21069","false","USP8","true","true","true","true"
"0.836435606886215","88.1390145351004","0.00476190476190476","0.197903475796172","Medium","2","168","4","477","Small","0.557784286501992","0.836435606886215","0.0376896413160962","0.565429847515975","4.67051994856557","Transferase_Regulation","245","25.0036772842185","0.990872574807072","2.07850544110241","0.00741507452221577","None","FALSE","0","6","0","6","urothelial cancer","High","Lost_in_cancer","false","true","true","false","urothelial cells","TRUE","Medium","Approved","Medium","Urinary bladder","true","true","false","0.836435606886214","Urinary bladder","true","true","RHOA","-0.27316831587441","0.292159813674762","0.0410005518543346","-0.220483387929501","-0.273270033841213","9.91568486458164E-26","3","RHOA","0.0295603171355487","1.01370702115316","0.00130607303409336","0.301702870875566","0.00104757941276238","0.0376896413160962","ERBB2","Functional_Hub","Shared_all_3","EGFR,FGFR3,ERBB2","4","1","2","3","5","869","Urothelial","0.879554655870445","2.48600736536419","1.12595258970193","988","5672","Urothelial","0.269210688689544","3.47879214511136","0.388870481137423","21069","false","RHOA","false","true","true","true"
"0.672149964027537","81.0337029543311","0.00446428571428571","0.60371383348378","Very Large","2","140","4","477","Large","1.79209305287986","0.672149964027537","0.26711491482631","1.23649676650974","43.463094334207","Growth_Factor_Response","47","30.7566566606894","1.21885781964838","2.23573873750237","0.229195434339431","High","TRUE","5","0","5","0","urothelial cancer","High","Constitutive","true","true","true","false","urothelial cells","TRUE","Medium","Approved","Medium","Urinary bladder","true","false","false","0.672149964027536","Urinary bladder","true","true","ERBB3","-0.676441878840901","0.560054887668835","0.318615839790529","0.181381491443339","0.249944717910352","1.75123060835322E-31","1","ERBB3","0.260568777904543","0.689973528172943","2.36500016206575E-30","1.20615008265353E-28","4.18802112032477E-31","0.26711491482631","ERBB2","Functional_Bridge","Unique_to_ERBB2","ERBB2","5","1","2","4","3","352","Urothelial","0.356275303643725","1.93870206530032","0.276442148270188","988","1156","Non-urothelial","0.0548673406426503","2.34293638851761","0.0538063325864989","21069","false","ERBB3","true","true","true","true"
"0.291599579658639","7.81627184404946","0.00380228136882129","0.428506020983058","Very Large","2","62","4","477","Large","0.967099576051482","0.291599579658639","0.155132400439959","0.992945464677873","21.8963761447339","Growth_Factor_Response","48","30.7566566606894","1.21885781964838","-0.414591039478326","0.058029012593389","Low","TRUE","0","2","1","7","urothelial cancer","High","Constitutive","false","true","true","false","urothelial cells","TRUE","Medium","Approved","Medium","Urinary bladder","true","false","false","0.291599579658639","Urinary bladder","true","true","ERBIN","-0.200185322572951","-0.574280040376906","0.418665424300967","0.14912848513647","-0.272014682048831","1.75123060835322E-31","1","ERBIN","0.147785797023145","1.02672515764293","3.23648785869566E-16","3.78669079467392E-14","1.31482319259511E-16","0.155132400439959","ERBB2","Signal_Receptor","Unique_to_ERBB2","ERBB2","3","5","1","2","4","0","Non-urothelial","0.0","0.0","0.0","988","0","Non-urothelial","0.0","0.0","0.0","21069","false","ERBIN","true","true","true","true"
"0.491849942292174","10.0653695936336","0.00393700787401575","0.227809206957449","Medium","2","92","4","477","Small","0.827273080660776","0.491849942292174","0.0493366109599342","0.76914994939474","6.1887213968689","Other","134","20.9240786974882","0.829201860941152","-1.20547037394622","0.167866056249575","Medium","TRUE","2","1","3","5","urothelial cancer","High","Cancer_upregulated","true","true","false","false","urothelial cells","FALSE","Low","Approved","Medium","Urinary bladder","true","false","true","0.491849942292173","Urinary bladder","false","true","RAC1","0.206440632031263","-0.117314625245723","0.269067061800697","0.393432684754046","-0.375717264640694","1.19102616540346E-21","3","RAC1","0.0412823150653688","0.929741299910773","9.91924816462099E-5","0.0211279985906427","7.33611062175094E-5","0.0493366109599342","ERBB2","Peripheral","Shared_all_3","EGFR,FGFR3,ERBB2","3","4","2","1","5","971","Urothelial","0.982793522267207","3.05940545086189","1.86827565942873","988","8440","Urothelial","0.400588542408278","3.78630396623202","0.853331865008486","21069","false","RAC1","false","true","true","true"
"0.781264541846136","65.6767018897264","0.00465116279069767","0.141253779789354","Medium","2","158","4","477","Small","0.324860793762714","0.781264541846136","0.0195623107504681","0.330403345879823","2.37935116384494","Growth_Factor_Response","159","30.7566566606894","1.21885781964838","2.45012797793593","-0.0181653110242842","High","TRUE","2","3","7","0","urothelial cancer","High","Constitutive","true","true","true","false","urothelial cells","TRUE","Medium","Approved","Medium","Urinary bladder","true","false","false","0.781264541846134","Urinary bladder","true","true","PIK3CA","0.00370636901716318","-0.176639983268833","0.117900878544241","-0.212502467335582","-0.11265193424002","1.75123060835322E-31","3","PIK3CA","0.0113173490888596","1.01706131433379","0.0570657570086356","1.0","0.0509232623306227","0.0195623107504681","ERBB2","Functional_Hub","Shared_all_3","EGFR,FGFR3,ERBB2","2","4","1","5","3","68","Non-urothelial","0.0688259109311741","1.0681032005687","0.0474052351717459","988","755","Non-urothelial","0.035834638568513","2.2874265325632","0.0350529733958649","21069","false","PIK3CA","false","false","false","false"
"0.429264080874838","11.7315055394498","0.00364963503649635","0.585068606016083","Very Large","2","84","4","477","Large","1.20611290509197","0.429264080874839","0.25501298433435","1.19219660073267","40.8199038941631","Growth_Factor_Response","75","25.2339987198524","1.0","-0.710691899982585","0.127317807430574","High","TRUE","1","1","10","0","urothelial cancer","High","Constitutive","true","true","true","false","urothelial cells","TRUE","High","Approved","Medium","Urinary bladder","true","false","false","0.429264080874838","Urinary bladder","false","true","PIK3R2","-0.603360754106158","-0.477256739991262","0.588835846626512","0.211367755694784","-0.1049497285356","5.83446824067576E-26","3","PIK3R2","0.248377792943605","0.988461856016509","1.060712558748E-28","5.72784781723919E-27","1.9888360476525E-29","0.25501298433435","ERBB2","Signal_Receptor","Shared_all_3","EGFR,FGFR3,ERBB2","5","4","1","2","3","22","Non-urothelial","0.0222672064777328","0.94654430484636","0.0140301194437429","988","83","Non-urothelial","0.00393943708766434","1.55303313756667","0.00317174441691302","21069","false","PIK3R2","true","true","true","true"
